Category,Remap0,Remap1,Remap2
* BE,BENG,INDI,OTH
* FU,UNKN,OTH,OTH
** T,UNKN,OTH,OTH
**SH,UNKN,OTH,OTH
**TO,UNKN,OTH,OTH
*AMH,UNKN,OTH,OTH
*ARA,ARAB,ARAB,OTH
*ARM,ARAB,ARAB,OTH
*BEN,BENG,INDI,OTH
*BOS,UNKN,EURO,OTH
*BUL,UNKN,EURO,OTH
*BUR,UNKN,INDI,OTH
*CAN,CANT,CHIN,OTH
*CDI,UNKN,OTH,OTH
*CHI,CHIN,CHIN,OTH
*DEA,DEAF,DEAF,DEAF
*DUT,UNKN,EURO,OTH
*FAR,ARAB,ARAB,OTH
*FIL,TAGA,SEA,OTH
*FUL,UNKN,OTH,OTH
*GUJ,UNKN,OTH,OTH
*HUN,UNKN,EURO,OTH
*IBO,UNKN,OTH,OTH
*KHM,CAMB,SEA,OTH
*LEB,ARAB,ARAB,OTH
*MAN,MAND,CHIN,OTH
*MOR,UNKN,INDI,OTH
*NEP,UNKN,INDI,OTH
*PER,PERS,ARAB,OTH
*PHI,TAGA,SEA,OTH
*PUN,UNKN,OTH,OTH
*ROM,UNKN,EURO,OTH
*SPA,SPAN,EURO,OTH
*TAM,UNKN,INDI,OTH
*TEL,UNKN,OTH,OTH
*TOI,UNKN,OTH,OTH
*TOY,UNKN,OTH,OTH
*URD,ARAB,ARAB,OTH
*YID,YIDD,YIDD,OTH
*YOR,UNKN,OTH,OTH
ALBA,ALBA,EURO,OTH
AMER,AMER,AMER,OTH
ARAB,ARAB,ARAB,OTH
BENG,BENG,INDI,OTH
CAMB,CAMB,SEA,OTH
CANT,CANT,CHIN,OTH
CAPE,CAPE,OTH,OTH
ENGL,ENGL,ENGL,ENGL
ETHI,ETHI,OTH,OTH
FREN,FREN,EURO,OTH
GREE,GREE,EURO,OTH
HAIT,HAIT,ENGL,OTH
HIND,HIND,INDI,OTH
ITAL,ITAL,EURO,OTH
JAPA,JAPA,JAPA,OTH
KORE,KORE,KORE,OTH
LAOT,LAOT,OTH,OTH
MAND,MAND,CHIN,OTH
PERS,PERS,ARAB,OTH
POLI,POLI,EURO,OTH
PORT,PORT,EURO,OTH
PTUN,PTUN,OTH,OTH
RUSS,RUSS,EURO,OTH
SERB,SERB,OTH,OTH
SOMA,SOMA,EURO,OTH
SPAN,SPAN,EURO,OTH
TAGA,TAGA,SEA,OTH
THAI,THAI,SEA,OTH
TURK,TURK,EURO,OTH
URDU,ARAB,ARAB,OTH
VIET,VIET,SEA,OTH
DEFAULT,UNKN,OTH,UNKN
